VCount: 1088092
Clusters populated to vertex count of: 1088096
Edge count: 3083796
Clusters: [0=[20000000, 362717], 1=[20000000, 362700], 2=[20000000, 362679]]
Running test queries
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Vertex count: 1088092, Max degree: 9, Avg. degree: 2.83
Number of queries: 10880
No target count: 3067
Successfully added the log graph schema
Loading the log to graph
Edges added: 304810
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Edges overall: 3236201
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Staring Vaquero partitioning - cF=0.999, iF=0.900, nClusters=3, aProb=0.50
Clusters INIT Lower Bound: [0=36289, 1=36270, 2=36249]
Cooling factor: 0.999
It.		Temp		tRatio		Impr.		pSwitch		Good		Cross		Sum		sCount		Time
1		2.000		1.00		1.000		1.00		0		0		0		786009		20.50s		 
2		1.998		1.00		1.000		1.00		0		0		0		439173		19.58s		 
3		1.996		1.00		1.000		1.00		0		0		0		716379		19.81s		 
4		1.994		1.00		1.000		1.00		0		0		0		541494		20.39s		 
5		1.992		1.00		1.000		1.00		0		0		0		686347		19.64s		 
6		1.990		1.00		1.000		1.00		0		0		0		580769		19.75s		 
7		1.988		0.99		1.000		1.00		0		0		0		672762		19.79s		 
8		1.986		0.99		1.000		1.00		0		0		0		599267		20.20s		 
9		1.984		0.99		1.000		1.00		0		0		0		665814		20.53s		 
10		1.982		0.99		1.000		1.00		0		0		0		609306		20.17s		 
11		1.980		0.99		1.000		1.00		0		0		0		661476		19.50s		 
12		1.978		0.99		1.000		0.99		0		0		0		615641		19.96s		 
13		1.976		0.99		1.000		0.99		0		0		0		658185		19.89s		 
14		1.974		0.99		1.000		0.99		0		0		0		620473		19.53s		 
15		1.972		0.99		1.000		0.99		0		0		0		656022		19.80s		 
16		1.970		0.99		1.000		0.99		0		0		0		623892		19.63s		 
17		1.968		0.98		1.000		0.99		0		0		0		654371		19.80s		 
18		1.966		0.98		1.000		0.99		0		0		0		626495		21.10s		 
19		1.964		0.98		1.000		0.99		0		0		0		653015		19.60s		 
20		1.962		0.98		1.000		0.99		0		0		0		628871		19.36s		 
21		1.960		0.98		1.000		0.99		0		0		0		651663		19.33s		 
22		1.958		0.98		1.000		0.99		0		0		0		630584		19.22s		 
23		1.956		0.98		1.000		0.99		0		0		0		650553		19.46s		 
24		1.955		0.98		1.000		0.99		0		0		0		632442		19.42s		 
25		1.953		0.98		1.000		0.99		0		0		0		649369		19.64s		 
26		1.951		0.98		1.000		0.99		0		0		0		633602		19.17s		 
